Target,Method,Coefficient,Std_Error,P_value,CI_Lower,CI_Upper,CF_SD
ln_MIVA,DML (Random Forest),0.23919383438170014,0.07300641677628385,0.0010516192564307136,0.0961012575001838,0.3822864112632165,0.04136314779186241
ln_MIVA,DML (Lasso),0.6951837137545109,0.11119352113811726,4.0518699506719713e-10,0.4772444123238011,0.9131230151852208,0.02283155348690029
ln_MIVA,DML (Ridge),0.8177410462869183,0.09439282591028594,0,0.632731107502758,1.0027509850710787,0.011094858174053297
ln_DCM,DML (Random Forest),0.3955317158508469,0.23081240005439063,0.0865929878258016,-0.05686058825575874,0.8479240199574525,0.13564393423984958
ln_DCM,DML (Lasso),0.9540863264279416,0.13023619452213211,2.3736568266485847e-13,0.6988233851645627,1.2093492676913205,0.0234789455826492
ln_DCM,DML (Ridge),1.0685059642894594,0.10956267584878242,0,0.853763119625846,1.283248808953073,0.015356207325660827
ln_GFCFM,DML (Random Forest),0.2398833407734616,0.11111076200019109,0.030853514682251504,0.022106247253087075,0.4576604342938361,0.08622393062888892
ln_GFCFM,DML (Lasso),1.4507605674012511,0.2362129477270104,8.161791242855543e-10,0.9877831898563108,1.9137379449461915,0.05807250704069483
ln_GFCFM,DML (Ridge),2.3015899018558104,0.18438628966556056,0,1.9401927741113116,2.662987029600309,0.04203356790430965
ln_MFDI,DML (Random Forest),0.9475663872568888,0.2914969843884091,0.0011512523709182876,0.37623229785560697,1.5189004766581706,0.22871284729971875
ln_MFDI,DML (Lasso),1.4976922856078863,0.29418584205452136,3.5623007366147874e-7,0.9210880351810244,2.074296536034748,0.09781004458159265
ln_MFDI,DML (Ridge),2.4551452504239664,0.22620071047066986,0,2.0117918579014535,2.898498642946479,0.02897965369215761
